Id,Name,IsActive,IsCompleted,LeagueName,Country,TotalRounds,CurrentRound,CreatedAt,UpdatedAt,EndDate,StartDate,CompetitionId
4,2017/2018,f,f,Laliga,Spain,0,,2025-05-24 17:42:38.767005+03,2025-05-24 17:42:38.767005+03,2024-05-30,2023-07-31,1
6,2015/2016,f,f,Laliga,Spain,0,,2025-05-24 17:42:38.767005+03,2025-05-24 17:42:38.767005+03,2024-05-30,2023-07-31,1
3,2018/2019,f,f,Laliga,Spain,0,,2025-05-24 17:42:38.767005+03,2025-05-24 17:42:38.767005+03,2024-05-30,2023-07-31,1
2,2019/2020,f,f,Laliga,Spain,0,,2025-05-24 17:42:38.767005+03,2025-05-24 17:42:38.767005+03,2024-05-30,2023-07-31,1
1,2020/2021,f,f,Laliga,Spain,0,,2025-05-24 17:42:38.767005+03,2025-05-24 17:42:38.767005+03,2024-05-30,2023-07-31,1
5,2016/2017,f,f,Laliga,Spain,0,,2025-05-24 17:42:38.767005+03,2025-05-24 17:42:38.767005+03,2024-05-30,2023-08-02,1
7,2022/2023,f,f,Laliga,Spain,0,1,2025-06-14 01:06:28.811279+03,2025-06-14 01:06:28.811279+03,2024-12-18,2023-02-15,
