Id,TeamId,SeasonId,UpdatedAt
1,1,1,2025-07-14 19:38:35.696987 +00:00
2,2,1,2025-07-14 19:38:35.696987 +00:00
3,3,1,2025-07-14 19:38:35.696987 +00:00
4,4,1,2025-07-14 19:38:35.696987 +00:00
5,5,1,2025-07-14 19:38:35.696987 +00:00
6,6,1,2025-07-14 19:38:35.696987 +00:00
7,7,1,2025-07-14 19:38:35.696987 +00:00
8,8,1,2025-07-14 19:38:35.696987 +00:00
9,9,1,2025-07-14 19:38:35.696987 +00:00
10,10,1,2025-07-14 19:38:35.696987 +00:00
11,11,1,2025-07-14 19:38:35.696987 +00:00
12,12,1,2025-07-14 19:38:35.696987 +00:00
13,13,1,2025-07-14 19:38:35.696987 +00:00
14,14,1,2025-07-14 19:38:35.696987 +00:00
15,15,1,2025-07-14 19:38:35.696987 +00:00
16,16,1,2025-07-14 19:38:35.696987 +00:00
17,17,1,2025-07-14 19:38:35.696987 +00:00
18,18,1,2025-07-14 19:38:35.696987 +00:00
19,19,1,2025-07-14 19:38:35.696987 +00:00
20,1,2,2025-07-14 19:38:35.696987 +00:00
21,2,2,2025-07-14 19:38:35.696987 +00:00
22,3,2,2025-07-14 19:38:35.696987 +00:00
23,4,2,2025-07-14 19:38:35.696987 +00:00
24,5,2,2025-07-14 19:38:35.696987 +00:00
25,6,2,2025-07-14 19:38:35.696987 +00:00
26,7,2,2025-07-14 19:38:35.696987 +00:00
27,8,2,2025-07-14 19:38:35.696987 +00:00
28,9,2,2025-07-14 19:38:35.696987 +00:00
29,11,2,2025-07-14 19:38:35.696987 +00:00
30,12,2,2025-07-14 19:38:35.696987 +00:00
31,13,2,2025-07-14 19:38:35.696987 +00:00
32,14,2,2025-07-14 19:38:35.696987 +00:00
33,15,2,2025-07-14 19:38:35.696987 +00:00
34,16,2,2025-07-14 19:38:35.696987 +00:00
35,18,2,2025-07-14 19:38:35.696987 +00:00
36,20,2,2025-07-14 19:38:35.696987 +00:00
37,21,2,2025-07-14 19:38:35.696987 +00:00
38,22,2,2025-07-14 19:38:35.696987 +00:00
39,23,2,2025-07-14 19:38:35.696987 +00:00
