Id,Name,IsActive,IsCompleted,LeagueName,Country,TotalRounds,CurrentRound,CreatedAt,UpdatedAt,StartDate,EndDate,CompetitionId
1,2020/2021,false,false,Laliga,Spain,38,,2025-07-14 19:34:45.509524 +00:00,2025-07-14 19:34:45.509524 +00:00,2025-05-30,2026-07-31,1
2,2019/2020,false,false,Laliga,Spain,38,,2025-07-14 19:34:45.509524 +00:00,2025-07-14 19:34:45.509524 +00:00,2025-05-30,2026-07-31,1
3,2018/2019,false,false,Laliga,Spain,38,,2025-07-14 19:34:45.509524 +00:00,2025-07-14 19:34:45.509524 +00:00,2025-05-30,2026-07-31,1
5,2016/2017,false,false,Laliga,Spain,38,,2025-07-14 19:34:45.509524 +00:00,2025-07-14 19:34:45.509524 +00:00,2025-05-30,2026-07-31,1
6,2015/2016,false,false,Laliga,Spain,38,,2025-07-14 19:34:45.509524 +00:00,2025-07-14 19:34:45.509524 +00:00,2025-05-30,2026-07-31,1
4,2017/2018,false,false,Laliga,Spain,38,,2025-07-14 19:34:45.509524 +00:00,2025-07-14 19:34:45.509524 +00:00,2025-05-30,2026-07-31,1
